英郡年华三期时光里,龙岗区,3室1厅1厨2卫,高楼层 (共30层),85.91㎡,板塔结合,西南,精装,两梯六户,2019-05-04,2017-06-15,满两年,428万元,丹竹头
宏发前城,宝安区,4室2厅1厨2卫,高楼层 (共51层),149.98㎡,塔楼,东南,毛坯,四梯六户,2019-11-12,2018-07-02,未满两年,1450万元,西乡
祥云苑,龙岗区,3室1厅1厨2卫,中楼层 (共8层),89.7㎡,板塔结合,西北,简装,一梯四户,2019-12-15,2015-09-21,满两年,320万元,布吉大芬
财富广场,福田区,1室0厅0厨0卫,高楼层 (共30层),41.49㎡,塔楼,西,简装,八梯二十六户,2020-01-02,2012-08-28,满五年,490万元,香蜜湖
,暂无数据,,,,,,,,,,,,暂无数据
俊峰丽舍,南山区,3室2厅1厨2卫,低楼层 (共18层),107.46㎡,板塔结合,西北,精装,两梯四户,2019-11-10,2009-04-15,满五年,698万元,西丽
吉祥里,龙岗区,3室2厅1厨1卫,低楼层 (共45层),80.03㎡,暂无数据,南,毛坯,三梯一户,2019-11-06,2013-02-02,满五年,355万元,龙岗中心城
,暂无数据,,,,,,,,,,,,暂无数据
仁恒峦山美地,龙岗区,3室2厅1厨2卫,中楼层 (共32层),76.25㎡,板塔结合,东南,精装,两梯五户,2019-11-06,2016-07-27,满两年,348万元,龙岗宝荷
俊景园,宝安区,3室2厅1厨1卫,中楼层 (共23层),107.61㎡,板塔结合,东南,精装,两梯四户,2019-08-14,2009-01-16,满五年,455万元,西乡
,暂无数据,,,,,,,,,,,,暂无数据
颐安都会中央二期,龙岗区,3室2厅1厨1卫,高楼层 (共30层),76.99㎡,塔楼,南,精装,两梯四户,2019-11-05,2015-08-24,满两年,425万元,大运新城
德意名居一期,南山区,3室1厅1厨1卫,中楼层 (共18层),89㎡,塔楼,北,简装,两梯五户,2019-08-22,2011-06-10,满五年,680万元,大学城
,暂无数据,,,,,,,,,,,,暂无数据
龙岗天健花园,龙岗区,3室2厅1厨2卫,中楼层 (共7层),104.83㎡,板塔结合,北,精装,一梯四户,2019-07-14,2014-04-14,满五年,350万元,龙岗中心城
福永花苑,宝安区,3室2厅1厨1卫,低楼层 (共8层),84.08㎡,板塔结合,东 南,简装,一梯六户,2019-06-03,2010-04-16,满五年,340万元,福永
紫薇花园,龙岗区,3室1厅1厨2卫,高楼层 (共7层),87.01㎡,板塔结合,南,精装,一梯四户,2019-08-12,2005-01-31,满五年,328万元,龙岗中心城
,暂无数据,,,,,,,,,,,,暂无数据
龙珠花园,龙岗区,2室1厅1厨1卫,低楼层 (共31层),59.16㎡,板塔结合,北,精装,三梯十二户,2019-06-02,2002-01-10,满五年,239万元,布吉关
,暂无数据,,,,,,,,,,,,暂无数据
海境界家园一期,南山区,2室1厅1厨1卫,低楼层 (共32层),74㎡,塔楼,南,精装,两梯七户,2019-05-30,2013-12-23,满五年,810万元,蛇口
益田花园二期,福田区,3室2厅1厨3卫,低楼层 (共20层),113.99㎡,板塔结合,南,简装,两梯四户,2019-03-06,2004-06-24,满五年,770万元,皇岗
万科麓城二期,龙岗区,3室2厅1厨2卫,低楼层 (共32层),89.1㎡,板塔结合,南 北,精装,两梯五户,2019-05-01,2015-04-10,满两年,465万元,布吉水径
仓前锦福苑,南山区,1室0厅1厨1卫,低楼层 (共7层),32.2㎡,塔楼,南,简装,一梯五户,2018-11-17,2014-08-04,满五年,232万元,南头
丽湖花园二期,龙岗区,2室1厅1厨1卫,高楼层 (共8层),55.03㎡,板塔结合,东南 西北,精装,一梯四户,2019-03-03,2015-11-27,满两年,178万元,布吉水径
皇庭港湾,南山区,4室1厅1厨2卫,中楼层 (共19层),176.92㎡,板楼,东南,精装,两梯两户,2019-12-19,2019-09-19,未满两年,2050万元,深圳湾
,暂无数据,,,,,,,,,,,,暂无数据
东方明珠城,龙岗区,2室2厅1厨1卫,中楼层 (共32层),62.4㎡,塔楼,北,简装,三梯七户,2018-01-30,2016-10-27,满两年,242万元,龙岗中心城
,暂无数据,,,,,,,,,,,,暂无数据
博林天瑞,南山区,4室2厅1厨2卫,中楼层 (共46层),169.91㎡,板塔结合,南,简装,三梯三户,2019-05-28,2015-06-30,满两年,1450万元,大学城
联城美园,罗湖区,1室1厅1厨1卫,低楼层 (共35层),36.02㎡,板楼,北,简装,三梯七户,2018-07-31,2016-01-15,满两年,203万元,春风路
,暂无数据,,,,,,,,,,,,暂无数据
,暂无数据,,,,,,,,,,,,暂无数据
,暂无数据,,,,,,,,,,,,暂无数据
,暂无数据,,,,,,,,,,,,暂无数据
锦林新居,福田区,3室2厅1厨1卫,中楼层 (共8层),94.34㎡,板楼,南 北,简装,一梯两户,2019-12-26,2009-12-15,满五年,530万元,梅林
半山海景兰溪谷国际公寓,南山区,2室2厅1厨1卫,低楼层 (共31层),82.98㎡,塔楼,东南,精装,五梯十二户,2019-12-27,2011-09-20,满五年,820万元,蛇口
新浩城花园,福田区,3室1厅2厨2卫,低楼层 (共15层),142.44㎡,板塔结合,南 西,精装,两梯八户,2018-11-20,2014-07-02,满五年,1200万元,竹子林
振业城,龙岗区,4室1厅1厨2卫,中楼层 (共27层),227.22㎡,板塔结合,南,精装,两梯两户,2019-12-26,2010-09-03,满五年,740万元,横岗
领翔华府,宝安区,3室2厅1厨1卫,高楼层 (共30层),74.34㎡,板塔结合,东南,精装,两梯五户,2019-12-26,2015-10-27,满两年,508万元,西乡
合正汇一城,宝安区,3室2厅1厨1卫,低楼层 (共31层),85.45㎡,塔楼,东北,简装,两梯五户,2019-12-26,2011-03-01,满五年,650万元,西乡
棕榈湾,盐田区,3室2厅1厨2卫,中楼层 (共12层),106.48㎡,板塔结合,东南,精装,一梯两户,2018-11-27,2011-01-21,满五年,548万元,沙头角
万科第五园二期,龙岗区,3室1厅1厨1卫,中楼层 (共6层),96.43㎡,板塔结合,东,精装,一梯两户,2019-12-26,2005-11-21,满五年,448万元,坂田
劲嘉龙园印象,龙岗区,2室1厅1厨1卫,低楼层 (共15层),48.15㎡,板塔结合,西南,精装,两梯六户,2019-10-14,2018-01-15,未满两年,189万元,龙岗双龙
翠薇园,南山区,3室1厅1厨1卫,高楼层 (共7层),80㎡,板楼,东南,精装,一梯两户,2019-08-23,2018-01-26,未满两年,630万元,蛇口
缤纷世纪,龙岗区,2室1厅1厨1卫,中楼层 (共31层),42.57㎡,塔楼,东,简装,三梯十一户,2019-09-18,2019-09-26,未满两年,110万元,龙岗中心城
龙珠花园,龙岗区,2室1厅1厨1卫,低楼层 (共30层),60.4㎡,板塔结合,南,精装,三梯十一户,2019-06-12,2019-06-13,未满两年,248万元,布吉关
阳光花园,龙岗区,2室2厅1厨1卫,低楼层 (共6层),58.47㎡,板塔结合,西南,精装,一梯四户,2019-09-07,2016-11-04,满两年,250万元,布吉街
东方银座公馆,南山区,2室1厅1厨2卫,高楼层 (共31层),59.56㎡,塔楼,南,精装,两梯八户,2019-08-25,2016-07-13,满两年,580万元,前海
绿海名都,南山区,2室1厅1厨1卫,低楼层 (共18层),77.15㎡,塔楼,南,简装,两梯七户,2019-08-07,2004-11-26,满五年,690万元,前海
森雅谷润筑园,龙岗区,1室1厅1厨1卫,中楼层 (共16层),49.53㎡,塔楼,西南,精装,两梯二十七户,2019-08-02,2016-01-19,满两年,181万元,大运新城
宝瑞轩,福田区,3室2厅1厨2卫,中楼层 (共12层),111.06㎡,板塔结合,北,精装,一梯三户,2019-07-26,2017-10-23,满两年,810万元,福田保税区
翠竹苑,罗湖区,3室1厅1厨1卫,高楼层 (共6层),67.36㎡,板塔结合,南,简装,一梯三户,2019-07-17,2015-07-24,满两年,449万元,百仕达
家和花园南区,龙岗区,3室2厅1厨1卫,高楼层 (共7层),78.83㎡,板塔结合,北,精装,一梯四户,2019-07-10,2007-07-17,满五年,370万元,坂田
龙华花半里花园,龙华区,3室1厅1厨1卫,中楼层 (共33层),85.85㎡,塔楼,南,精装,四梯八户,2019-07-06,2017-10-19,满两年,395万元,龙华中心
海韵嘉园,南山区,2室2厅1厨1卫,中楼层 (共32层),62.5㎡,塔楼,东北,精装,两梯六户,2019-05-12,2007-04-29,满五年,610万元,蛇口
福临苑,南山区,3室2厅1厨1卫,低楼层 (共21层),95.91㎡,板塔结合,东,简装,两梯十户,2019-05-01,2016-03-17,满两年,650万元,南头
蔚蓝海岸2期,南山区,3室2厅1厨2卫,低楼层 (共27层),109.65㎡,塔楼,西北 东北,精装,两梯六户,2019-04-08,2015-04-21,满两年,1098万元,后海
联城美园,罗湖区,1室1厅1厨1卫,中楼层 (共35层),36.62㎡,板楼,北,简装,三梯七户,2019-03-23,2007-05-29,满五年,206万元,春风路
万科天誉二期,龙岗区,3室2厅1厨2卫,低楼层 (共50层),89.51㎡,板塔结合,西南,精装,三梯六户,2019-02-20,2015-11-13,满两年,435万元,龙岗中心城
中信领航,宝安区,3室2厅1厨1卫,高楼层 (共30层),76.29㎡,塔楼,东南,精装,两梯四户,2019-02-19,2016-03-26,满两年,550万元,西乡
海典居,南山区,2室2厅1厨1卫,低楼层 (共21层),71.72㎡,塔楼,东,简装,两梯八户,2019-12-03,2019-12-15,未满两年,517万元,南山中心
光明1号,光明区,3室2厅1厨1卫,高楼层 (共33层),81㎡,板塔结合,东南 东北,毛坯,两梯四户,2019-12-01,2018-11-21,未满两年,410万元,公明
金地梅陇镇三期,龙华区,3室1厅1厨2卫,高楼层 (共33层),90.79㎡,板塔结合,东南,简装,两梯五户,2019-11-24,2019-12-02,未满两年,515万元,龙华新区
愉天小区,罗湖区,1室0厅0厨1卫,中楼层 (共7层),35㎡,板塔结合,南,简装,一梯十八户,2019-12-28,2015-08-25,满两年,440万元,翠竹
信和自由广场,南山区,1室1厅1厨1卫,低楼层 (共26层),52.31㎡,塔楼,东南,精装,三梯十户,2019-12-27,2017-04-14,满两年,340万元,后海
,暂无数据,,,,,,,,,,,,暂无数据
阳光里雅居,南山区,2室1厅1厨1卫,中楼层 (共31层),45.19㎡,塔楼,南,精装,四梯十七户,2019-12-27,2016-03-15,满两年,505万元,南山中心
花样年花乡,宝安区,1室0厅1厨1卫,高楼层 (共20层),27.88㎡,板塔结合,西北,精装,三梯十三户,2019-12-27,2017-05-09,满两年,280万元,宝安中心
时代景苑,宝安区,1室0厅1厨1卫,高楼层 (共11层),33.83㎡,板塔结合,西,简装,一梯八户,2019-12-25,2015-08-03,满两年,145万元,福永
中粮云景国际,光明区,3室2厅1厨2卫,低楼层 (共32层),89㎡,板塔结合,南,精装,两梯四户,2019-12-24,2016-07-19,满两年,460万元,公明
金丽豪苑,罗湖区,1室1厅1厨1卫,高楼层 (共30层),53.83㎡,板塔结合,北 南,简装,两梯十户,2019-12-24,2016-09-22,满两年,520万元,翠竹
怡龙枫景园,龙岗区,4室1厅1厨2卫,高楼层 (共26层),107.02㎡,板塔结合,东南,精装,两梯六户,2019-12-22,2011-12-07,满五年,400万元,龙岗双龙
劲嘉龙园印象,龙岗区,2室1厅1厨1卫,高楼层 (共15层),48.76㎡,板塔结合,西南,精装,两梯六户,2019-12-22,2017-09-06,满两年,190万元,龙岗双龙
,暂无数据,,,,,,,,,,,,暂无数据
广兴源圣拿威,宝安区,5室2厅1厨2卫,中楼层 (共31层),161㎡,板塔结合,东南,毛坯,四梯四户,2019-12-19,2014-05-06,满五年,1150万元,碧海
左庭右院,龙岗区,4室1厅1厨1卫,中楼层 (共18层),115.65㎡,板塔结合,南,精装,两梯三户,2019-12-21,2006-03-21,满五年,465万元,丹竹头
黄金大厦,宝安区,1室1厅1厨1卫,中楼层 (共32层),47.04㎡,塔楼,西南,精装,三梯十户,2019-12-17,2017-04-07,满两年,318万元,新安
深业东城国际,坪山区,3室1厅1厨2卫,高楼层 (共24层),89㎡,塔楼,北,毛坯,两梯五户,2019-12-16,2014-01-22,满五年,302万元,坪山
振业峦山谷,龙岗区,1室1厅1厨1卫,中楼层 (共32层),57.7㎡,板塔结合,东南,毛坯,三梯六户,2019-12-16,2010-08-06,满五年,200万元,龙岗宝荷
嘉葆润金座,福田区,2室1厅1厨1卫,中楼层 (共20层),34.16㎡,塔楼,西,简装,四梯二十六户,2019-12-13,2014-01-05,满五年,290万元,新洲
万科城一期,龙岗区,2室1厅1厨1卫,低楼层 (共3层),71.66㎡,板塔结合,东南,精装,一梯十九户,2019-08-13,2010-12-24,满五年,380万元,坂田
韵动家园,福田区,3室2厅1厨1卫,中楼层 (共29层),86.98㎡,塔楼,北,简装,四梯九户,2019-07-18,2008-12-19,满五年,520万元,新洲
合正丹郡,龙岗区,3室2厅1厨2卫,中楼层 (共34层),100.54㎡,板楼,西南,毛坯,三梯六户,2019-08-10,2015-06-16,满两年,360万元,丹竹头
蜜园,福田区,2室1厅1厨1卫,高楼层 (共33层),57.54㎡,塔楼,北,精装,三梯十三户,2019-08-11,2015-09-30,满两年,435万元,新洲
叠翠新峰花园,龙岗区,3室1厅1厨2卫,中楼层 (共9层),88.27㎡,板塔结合,西北,简装,一梯四户,2019-08-01,2017-07-31,满两年,273万元,龙岗双龙
,暂无数据,,,,,,,,,,,,暂无数据
,暂无数据,,,,,,,,,,,,暂无数据
海丽大厦,罗湖区,2室1厅1厨1卫,高楼层 (共32层),75.51㎡,塔楼,东,精装,两梯八户,2019-06-29,2013-01-29,满五年,425万元,螺岭
福德花园,罗湖区,3室1厅1厨1卫,低楼层 (共32层),79.6㎡,板塔结合,南,简装,三梯十二户,2019-07-03,2014-12-03,满五年,410万元,螺岭
华浩源B区,龙岗区,4室1厅1厨2卫,高楼层 (共11层),127.85㎡,板塔结合,西,精装,一梯四户,2019-06-08,2013-01-14,满五年,420万元,布吉石芽岭
后海花园,南山区,2室2厅1厨1卫,高楼层 (共8层),84㎡,板楼,西南,简装,一梯两户,2019-11-03,1995-05-11,满五年,565万元,后海
,暂无数据,,,,,,,,,,,,暂无数据
麓园,龙岗区,3室2厅1厨1卫,中楼层 (共34层),88.98㎡,板塔结合,东南,毛坯,两梯六户,2019-11-03,2015-11-28,满两年,340万元,龙岗中心城
阳光棕榈园三期,南山区,3室2厅1厨2卫,中楼层 (共9层),116.66㎡,板楼,北,精装,两梯四户,2019-10-30,2004-07-29,满五年,850万元,前海
,暂无数据,,,,,,,,,,,,暂无数据
鸣翠谷,罗湖区,5室2厅1厨2卫,中楼层 (共10层),148.31㎡,板塔结合,东南,精装,一梯三户,2019-07-17,2004-05-19,满五年,980万元,银湖
皇庭居,福田区,3室2厅1厨2卫,中楼层 (共32层),89.83㎡,板塔结合,东南,精装,三梯六户,2019-10-25,2016-01-18,满两年,625万元,皇岗
雅豪祥苑,龙岗区,3室2厅1厨1卫,高楼层 (共6层),69.22㎡,板楼,西北,简装,一梯三户,2019-10-24,2013-04-09,满五年,227万元,龙岗中心城
石鸿融景园,宝安区,4室2厅1厨2卫,中楼层 (共29层),132㎡,板塔结合,东南,精装,两梯五户,2019-11-02,2016-03-22,满两年,760万元,翻身
,暂无数据,,,,,,,,,,,,暂无数据
金地龙城中央一期,龙岗区,3室2厅1厨2卫,中楼层 (共19层),89.89㎡,板塔结合,东南,简装,两梯六户,2019-10-22,2015-10-11,满两年,368万元,龙岗中心城
,暂无数据,,,,,,,,,,,,暂无数据
深业新岸线一期,宝安区,3室2厅1厨2卫,中楼层 (共24层),103.63㎡,塔楼,东南,精装,两梯四户,2019-10-24,2017-02-27,满两年,980万元,宝安中心
聚龙大厦,罗湖区,2室1厅1厨1卫,高楼层 (共31层),56.34㎡,板塔结合,东南,精装,四梯十三户,2019-10-21,2010-04-22,满五年,330万元,螺岭
世纪春城四期,龙华区,5室2厅1厨3卫,低楼层 (共26层),116.35㎡,板塔结合,南,精装,三梯七户,2019-10-19,2004-08-23,满五年,610万元,民治
卓越皇后道,龙华区,3室2厅1厨2卫,高楼层 (共30层),88.8㎡,板楼,南,精装,两梯四户,2019-10-15,2013-12-14,满五年,630万元,红山
太古城南,南山区,2室1厅1厨1卫,高楼层 (共24层),51.72㎡,塔楼,东南,简装,两梯八户,2019-10-17,2017-09-27,满两年,838万元,深圳湾
THETOWN乐城,龙岗区,3室2厅1厨2卫,中楼层 (共33层),88.51㎡,塔楼,西南,简装,三梯六户,2019-10-18,2011-01-21,满五年,400万元,大运新城
长城里程家园,龙华区,3室2厅1厨1卫,低楼层 (共11层),86.61㎡,板楼,东南,精装,两梯五户,2019-10-11,2012-09-26,满五年,520万元,上塘
中航天逸,龙华区,4室2厅1厨2卫,高楼层 (共34层),137.17㎡,板塔结合,东南,毛坯,两梯三户,2019-10-07,2014-09-09,满五年,1100万元,红山
,暂无数据,,,,,,,,,,,,暂无数据
云栖西岸,南山区,3室1厅1厨1卫,中楼层 (共19层),43.87㎡,板塔结合,东,精装,两梯五户,2019-10-10,2013-06-19,满五年,525万元,前海
宇宏健康花城,龙岗区,3室2厅1厨2卫,中楼层 (共33层),89.32㎡,板塔结合,南,精装,两梯五户,2019-10-11,2015-07-07,满两年,520万元,布吉石芽岭
,暂无数据,,,,,,,,,,,,暂无数据
鸿瑞花园,南山区,2室1厅1厨1卫,中楼层 (共25层),81.53㎡,塔楼,东南,精装,两梯六户,2019-12-08,2006-02-22,满五年,720万元,南山中心
,暂无数据,,,,,,,,,,,,暂无数据
,暂无数据,,,,,,,,,,,,暂无数据
,暂无数据,,,,,,,,,,,,暂无数据
深业御园,坪山区,3室2厅1厨2卫,高楼层 (共18层),88.42㎡,板楼,南 北,精装,两梯四户,2019-10-07,2014-03-12,满五年,245万元,坪山
,暂无数据,,,,,,,,,,,,暂无数据
碧海富通城三期,宝安区,4室1厅1厨2卫,高楼层 (共32层),137.94㎡,塔楼,东,精装,两梯三户,2019-12-06,2015-01-12,满五年,860万元,碧海
岸上林居,龙岗区,4室2厅1厨2卫,低楼层 (共33层),81.16㎡,塔楼,北,简装,两梯四户,2019-10-21,2015-06-25,满两年,332万元,龙岗中心城
阳光花园,龙岗区,3室1厅1厨1卫,中楼层 (共32层),92㎡,板塔结合,南,精装,三梯十一户,2019-08-05,2017-04-14,满两年,355万元,布吉街
雅乐居,宝安区,2室2厅1厨1卫,高楼层 (共15层),66.2㎡,板塔结合,东南,简装,两梯十二户,2020-01-06,2020-01-06,未满两年,350万元,西乡
,暂无数据,,,,,,,,,,,,暂无数据
方鼎华庭,南山区,3室2厅1厨2卫,低楼层 (共11层),93.19㎡,塔楼,西,精装,一梯三户,2019-08-31,2009-07-20,满五年,715万元,南头
绿景大公馆,龙岗区,4室2厅1厨2卫,高楼层 (共30层),132.88㎡,塔楼,南 东南,精装,四梯六户,2020-01-01,2014-08-27,满五年,820万元,大运新城
金运家园,龙岗区,3室1厅1厨2卫,高楼层 (共9层),48.3㎡,板塔结合,东南,精装,一梯十户,2019-12-31,2006-11-30,满五年,213万元,布吉街
,暂无数据,,,,,,,,,,,,暂无数据
中兆花园,龙岗区,2室1厅1厨1卫,高楼层 (共22层),65.08㎡,板塔结合,西南,精装,两梯九户,2019-12-29,2015-09-11,满两年,260万元,布吉大芬
麟恒中心广场二期,龙岗区,3室1厅1厨2卫,高楼层 (共30层),89.73㎡,板塔结合,西南,精装,三梯六户,2019-12-29,2015-05-22,满两年,400万元,横岗
汉京确悦,南山区,3室1厅1厨2卫,中楼层 (共24层),77.33㎡,板塔结合,北,精装,三梯六户,2020-01-02,2013-03-20,满五年,800万元,前海
福永花苑,宝安区,2室1厅1厨1卫,中楼层 (共8层),59.09㎡,板楼,南,精装,一梯六户,2019-12-28,2015-11-27,满两年,285万元,福永
置地逸轩,罗湖区,1室1厅1厨1卫,高楼层 (共33层),46.21㎡,板塔结合,南,简装,三梯十五户,2019-12-28,2011-02-16,满五年,290万元,春风路
森雅谷润筑园,龙岗区,2室1厅1厨1卫,中楼层 (共20层),47.99㎡,板塔结合,西南,精装,三梯十八户,2019-12-28,2017-06-19,满两年,193万元,大运新城
华丽园,罗湖区,3室2厅1厨1卫,中楼层 (共25层),100.07㎡,塔楼,东南,精装,两梯八户,2019-12-28,2017-04-28,满两年,720万元,翠竹
